Geneid	pOka_M1_3
51806	0
810	0
79754	424
54906	1424
2665	5031
54522	112
84893	1147
3601	49
3559	0
84991	1189
5209	1575
5588	0
57713	32
80760	0
3698	1
22944	203
509	2974
83860	240
2625	4
10659	1653
9712	414
79746	241
254427	97
26019	918
55526	468
55176	194
11164	968
8872	1505
57118	179
83643	44
10133	1860
55388	300
221044	1
5264	550
22929	1269
222389	188
8559	311
55691	1734
83641	655
441549	17
51182	558
79723	277
64421	240
644890	5
55301	3
414149	161
221060	7
10557	301
9397	944
221061	702
8516	0
80013	545
9317	994
389941	53
6251	1276
8029	45
1787	175
7431	106630
338596	1
9200	560
8027	1340
653567	2
4360	5
221074	4
783	34
221078	109
221079	311
340895	0
84898	2701
10529	694
387638	0
399726	306
387640	29
8028	879
64215	413
340900	0
100532731	0
23412	103
648	52
9576	0
5305	1670
219681	15
22921	450
256297	0
256815	36
220213	146
56243	1268
57584	1411
56952	185
219670	2
79896	119
57512	0
53904	132
2572	0
54518	9
23590	170
10006	957
22852	353
10730	2714
84930	564
91452	601
374308	0
22931	1275
283078	0
55130	63
143098	6
51322	2542
25805	1469
283080	0
84569	0
6840	96
57608	0
55149	293
1326	84
119180	0
220929	139
6935	506
94134	949
3799	3239
80314	410
79741	14
3688	20974
8829	952
56288	887
8453	784
1390	211
219771	1185
219770	1
8325	105
91074	0
100288485	0
57209	394
219749	216
7581	529
7587	490
7582	527
9790	1179
5979	1
55454	361
221002	241
53828	0
3185	4252
8187	34
220992	42
7580	166
100130539	0
6387	0
643236	0
83937	310
11067	29
220979	24
7570	296
79290	0
240	122
220972	563
93550	47
253725	592
119016	92
83849	6
9721	0
5540	0
100996758	0
195977	1
728113	0
642517	38
100133093	0
644054	0
653145	1
118738	91
5949	21
2658	0
2662	0
26095	0
143162	2
5599	454
58504	101
57705	0
474354	0
196740	238
170370	0
170371	31
118461	9
644168	500
2074	1168
267004	0
1103	16
6572	0
282966	0
55753	507
8505	355
100652748	80
4477	0
8031	3482
100287932	1028
414189	197
387680	740
56624	1
259230	254
653308	1
29974	3
5592	127
23283	854
22943	1029
4153	0
65217	0
100463289	0
11130	1243
253430	225
55847	389
7321	373
7019	800
80114	293
84457	0
220965	418
220963	6
100507027	0
8030	972
288	430
983	1585
9886	582
219623	0
219621	0
84159	1209
219790	236
22891	136
84890	954
1959	17
29982	464
221037	1258
221035	985
29119	0
347731	0
56521	5
23411	353
26091	733
84665	1
220202	2
64081	186
3189	2114
55680	489
1763	219
8034	192
80312	42
55749	1586
219736	48
79009	627
9188	2292
26128	818
5552	1
9559	1116
6832	533
80201	4007
3098	4576
6865	4
23555	235
50674	0
219738	74
1305	0
55506	169
84883	387
219743	404
56681	1661
5464	2425
64106	0
55222	573
1979	1783
4838	0
27143	103
5551	0
140766	32
219793	1
8879	551
5092	959
219699	5
55315	19
64072	13
414152	0
64115	643
5660	87586
9469	1251
9806	17
51008	488
119504	1223
54541	5064
54788	841
10367	1276
90550	1001
170392	1
84647	1
5033	3009
25961	76
11319	771
317662	607
23234	790
51021	1377
118491	76
310	1629
118490	17
5532	739
159195	1509
58529	8
79933	1
729092	61
9632	2304
170384	373
118487	390
23053	1126
8509	384
818	688
414236	10
5328	583
7414	7281
26985	1349
132	649
23522	474
338599	0
51207	1
142891	500
7417	2810
118881	323
84858	673
83938	104
3778	2393
9231	1641
11128	717
6229	17590
57178	1561
10105	1381
219654	469
143244	97
729238	0
653509	0
729262	6
6441	2
80195	317
219348	6
311	3522
4143	1
143241	0
84332	1
84293	2126
81619	1557
387694	0
10718	91
27069	3939
387695	0
92211	15
340745	0
26103	0
5995	0
54462	673
2894	7
23063	886
94233	0
11155	1
657	565
79812	5
6623	15
10974	14
119385	4
643161	1
2746	1939
54537	457
728118	7
9562	591
9060	2256
84896	917
100144748	54
5728	1303
55328	204
142910	1
8513	0
643414	0
643418	0
340654	0
118932	1
57559	107
59	1071
355	596
9023	1
3988	2523
3433	193
3437	288
439996	0
3434	351
24138	461
387700	138
53354	343
9585	1095
3363	41
10556	623
27063	1196
84333	636
143279	212
5507	400
80351	1384
143282	27
9044	1352
22849	58
54708	839
3416	1204
3832	1143
3087	48
54536	305
340665	0
1592	3
26509	7299
55165	1340
338557	0
5950	0
5146	8
118924	579
9211	4
159371	134
51196	914
64318	472
23232	220
3070	260
1562	1
1557	1
1559	0
1558	1
142827	0
9124	1313
10580	10
5832	1579
26123	2185
953	160
100127889	2
387707	1
54619	96
9849	294
29760	0
1791	0
93377	2
7093	2
56889	3839
118788	104
84458	439
26148	94
6585	1
84986	241
10023	35
23401	207
23223	578
5223	11885
51013	524
84287	1189
64210	1718
80019	463
26287	38
112817	183
414157	2
118812	182
55361	2957
60370	643
83742	1335
118813	464
6425	0
401647	11
55118	0
27291	253
84171	39
84795	157
3257	1491
60495	0
26507	242
2805	990
159296	0
81894	350
57089	179
1355	760
51076	158
1244	10
23268	542
1369	1
10613	1285
1147	429
55280	400
282991	678
9033	0
6319	14093
7479	5
25956	354
4714	1190
55662	1103
5076	0
55719	684
57715	271
84545	923
56652	373
84445	1823
79955	175
81855	1947
81621	39
3195	0
10660	0
8945	434
27343	501
25911	417
6468	572
2253	1
10360	483
10724	2389
30819	19
79591	450
79803	481
8861	1561
23082	790
9221	2594
83401	1
5309	0
8729	2462
4791	465
5662	5
79176	346
79004	1256
79946	154
79847	123
10121	2096
51684	362
81603	897
403	613
118980	158
54838	795
1586	0
119032	360
57412	330
54805	210
22978	1182
729020	2
9118	0
84108	226
6877	116
84833	940
22984	1084
51063	213
255022	2
119395	5
9148	0
9644	3
79991	294
9748	1114
1308	3
119392	80
80217	21
9446	1311
119391	192
85450	583
159686	19
22986	91
114815	0
7511	1313
120	570
4601	938
10285	548
1847	357
9126	1598
282996	0
27250	1389
92482	245
8036	664
150	4
57678	380
6975	0
51703	894
64429	954
143187	289
6934	369
3026	0
4892	0
840	203
79949	1
9937	278
374354	280
153	7
55088	331
56165	1
340706	0
84632	2
3983	1584
57700	653
142940	515
26033	362
2674	3117
374355	0
119548	84
5406	0
